國文,英文,數學,社會,自然
8,15,6,11,12
13,9,6,13,12
14,12,13,12,8
8,8,7,11,10
13,14,8,11,13
12,7,15,8,10
13,7,15,12,13
7,10,12,10,7
9,13,9,10,9
6,14,13,6,10
7,12,15,15,12
14,14,9,13,13
13,11,7,6,9
14,8,8,14,10
13,13,13,7,8
12,14,9,11,8
11,9,14,12,10
10,7,6,15,14
9,7,6,6,14
10,6,9,15,9
10,9,11,8,11
12,10,9,10,9
11,15,8,11,13
6,14,11,11,12
11,12,15,11,6
11,7,6,11,10
7,7,12,9,11
15,11,6,15,7
10,14,15,6,9
11,7,9,13,8
8,15,15,7,8
14,7,11,8,7
10,10,15,10,14
6,11,15,6,7
7,11,14,7,9
6,9,9,12,12
7,10,8,12,8
6,6,15,14,14
12,11,9,12,14
9,15,8,14,6
7,14,9,13,8
10,12,14,7,11
10,11,8,14,14
11,12,14,8,7
14,8,8,13,14
10,15,11,9,9
7,14,11,13,6
13,8,12,14,11
13,13,15,7,8
12,9,12,10,7
11,15,15,11,13
7,10,8,11,13
11,11,15,11,15
8,12,14,11,15
8,10,15,15,11
7,14,15,7,10
10,6,7,14,10
7,12,11,8,8
7,12,13,9,13
12,9,6,15,11
10,12,11,15,9
6,10,11,12,6
6,11,6,12,6
9,11,10,9,14
15,10,13,7,11
12,13,14,9,12
14,13,7,7,6
15,6,15,8,9
15,7,9,6,9
11,13,6,10,13
9,7,14,11,12
12,14,10,9,14
6,13,10,8,10
10,8,15,6,7
6,9,13,12,7
13,12,8,7,8
14,10,12,13,13
9,6,9,10,9
15,9,6,9,12
12,14,8,14,6
7,12,12,11,10
15,7,10,10,12
12,10,11,14,11
15,14,7,7,12
6,7,14,7,7
7,10,10,14,11
15,10,6,15,6
10,11,10,10,7
13,15,8,14,10
12,6,10,10,12
7,12,12,9,15
15,11,11,13,12
13,9,6,14,13
10,12,14,15,15
11,12,7,10,9
13,13,15,12,8
10,13,8,7,12
15,13,6,6,13
6,11,14,6,15
13,10,12,13,12
